date,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
31-Oct,1.133333333,0.3,1.183333333,1,0.371428571,2.157142857,1.342857143,1.042857143,0.428571429,1.15,0.2125,1.2125,0,0.633333333,0.866666667,1.833333333,0.5,0.190909091,2.4,0.736363636,1.472727273,0.127272727,0.836363636,0.072727273,0.963636364,0,0.490909091,1.372727273,1.772727273,1.509090909,0.518181818,0.754545455,0.709090909
1-Nov,1.316666667,0.583333333,1.233333333,1.116666667,0.385714286,2.328571429,1.257142857,1.428571429,0.428571429,1.2625,0.3625,1.3,0,0.733333333,0.911111111,1.8,0.490909091,0.190909091,2.363636364,0.727272727,1.472727273,0.127272727,0.872727273,0.072727273,0.963636364,0,0.754545455,1.663636364,1.881818182,1.418181818,0.536363636,0.718181818,0.736363636
2-Nov,1.65,0.9,1.3,1.116666667,0.528571429,2.328571429,1.242857143,1.571428571,0.414285714,1.3875,0.3625,1.25,0.1125,1.011111111,0.944444444,1.688888889,0.472727273,0.2,2.318181818,0.754545455,1.545454546,0.127272727,0.890909091,0.1,0.972727273,0.027272727,0.690909091,1.718181818,1.881818182,1.345454546,0.6,0.718181818,0.718181818
3-Nov,1.8,1.533333333,1.266666667,1.15,0.557142857,2.257142857,1.214285714,1.757142857,0.428571429,1.3875,0.375,1.25,0.425,1.011111111,0.933333333,1.711111111,0.472727273,0.227272727,2.290909091,0.763636364,1.936363636,0.127272727,0.945454546,0.363636364,0.954545455,0.027272727,0.645454546,1.845454546,1.890909091,1.290909091,0.745454546,0.709090909,0.718181818
4-Nov,1.866666667,1.683333333,1.283333333,1.75,0.6,2.371428571,1.214285714,1.742857143,0.414285714,1.4,0.375,1.3,0.625,1.044444444,0.922222222,1.744444444,0.481818182,0.227272727,2.236363636,0.763636364,2,0.127272727,0.981818182,0.390909091,0.927272727,0.045454546,0.645454546,1.936363636,1.863636364,1.209090909,0.718181818,1.1,0.654545455
5-Nov,1.966666667,1.666666667,1.366666667,1.75,0.6,2.4,1.214285714,1.742857143,0.385714286,1.5,0.3875,1.4,0.65,1.1,0.933333333,1.766666667,0.472727273,0.354545455,2.2,0.763636364,2.054545455,0.136363636,1.227272727,0.381818182,1.1,0.063636364,0.727272727,2.145454546,1.836363636,1.081818182,0.727272727,1.072727273,0.590909091
6-Nov,1.983333333,1.75,1.5,1.733333333,0.614285714,2.428571429,1.214285714,1.771428571,0.371428571,1.725,0.3875,1.3625,0.675,1.066666667,1.033333333,1.755555556,0.463636364,0.445454546,2.136363636,0.772727273,2.336363636,0.136363636,1.309090909,0.4,1.154545455,0.072727273,0.736363636,2.154545455,1.827272727,0.981818182,0.7,1.209090909,0.581818182
7-Nov,2.233333333,1.783333333,1.583333333,1.716666667,0.657142857,2.528571429,1.228571429,1.828571429,0.371428571,1.7125,0.4125,1.4375,0.6875,1,1.044444444,1.8,0.463636364,0.445454546,2.081818182,0.772727273,2.363636364,0.136363636,1.381818182,0.418181818,1.163636364,0.063636364,0.763636364,2.136363636,1.818181818,0.972727273,0.718181818,1.172727273,0.563636364
8-Nov,2.316666667,1.8,1.483333333,1.7,0.671428571,2.514285714,1.214285714,2.028571429,0.342857143,1.825,0.4875,1.55,0.725,1.044444444,1.066666667,1.844444444,0.463636364,0.509090909,2.054545455,0.772727273,2.527272727,0.136363636,1.409090909,0.427272727,1.190909091,0.045454546,1.090909091,2.145454546,1.790909091,1.290909091,0.7,1.136363636,0.563636364
9-Nov,2.316666667,1.833333333,1.5,1.85,0.714285714,2.485714286,1.242857143,2.642857143,0.342857143,1.85,0.6125,1.8375,0.7,1.077777778,1.055555556,1.833333333,0.463636364,0.527272727,2.009090909,0.772727273,2.572727273,0.145454546,1.363636364,0.418181818,1.2,0.027272727,1.136363636,2.090909091,1.763636364,1.563636364,0.709090909,1.109090909,0.618181818
10-Nov,2.233333333,1.95,1.5,1.85,0.857142857,2.5,1.5,3.128571429,0.342857143,1.9,0.6125,2.8125,0.775,1.155555556,1.033333333,1.788888889,0.463636364,0.536363636,2,0.818181818,2.572727273,0.263636364,1.3,0.418181818,1.218181818,0.027272727,1.127272727,2.118181818,1.709090909,1.7,0.745454546,1.145454546,0.681818182
11-Nov,2.433333333,2.35,1.5,1.866666667,1.542857143,2.485714286,1.685714286,3.157142857,0.342857143,2.025,0.6375,2.9,0.8625,1.355555556,1,1.755555556,0.463636364,0.636363636,2,0.836363636,2.636363636,0.609090909,1.281818182,0.463636364,1.318181818,0.027272727,1.081818182,2.145454546,1.7,1.718181818,0.872727273,1.081818182,0.681818182
12-Nov,2.466666667,2.566666667,1.716666667,1.883333333,1.585714286,2.442857143,2,3.342857143,0.342857143,2.325,0.6375,2.9,0.8875,1.377777778,1.144444444,1.766666667,0.463636364,0.681818182,1.981818182,0.963636364,2.645454546,0.663636364,1.281818182,0.518181818,1.390909091,0.027272727,1.009090909,2.527272727,1.654545455,1.718181818,0.945454546,1.1,0.681818182
13-Nov,2.5,2.583333333,2.15,2.333333333,1.6,2.557142857,2.042857143,3.342857143,0.328571429,2.35,0.6625,3.0375,1.0375,1.422222222,1.266666667,1.855555556,0.463636364,0.736363636,1.981818182,0.972727273,2.727272727,0.745454546,1.290909091,0.6,1.409090909,0.027272727,1.009090909,2.609090909,1.645454546,1.718181818,0.945454546,1.136363636,0.690909091
14-Nov,2.5,2.55,2.483333333,2.45,1.571428571,2.557142857,2.114285714,3.271428571,0.328571429,2.3125,0.65,3.1125,1.325,1.544444444,1.433333333,2,0.481818182,0.727272727,2.1,0.990909091,2.845454546,0.763636364,1.318181818,1.054545455,1.409090909,0.027272727,1,2.690909091,1.6,1.781818182,0.936363636,1.245454546,0.681818182
15-Nov,2.716666667,2.533333333,2.716666667,2.466666667,1.542857143,2.571428571,2.5,3.257142857,0.328571429,2.4375,0.6375,3.0875,1.3125,1.533333333,1.8,2.511111111,0.490909091,0.7,2.372727273,1.027272727,2.845454546,0.763636364,1.309090909,1.372727273,1.427272727,0,0.981818182,2.736363636,1.609090909,1.854545455,0.945454546,1.263636364,0.663636364
16-Nov,3.183333333,2.483333333,2.733333333,2.466666667,1.542857143,2.8,2.6,3.214285714,0.371428571,2.425,0.65,3.125,1.3375,1.611111111,1.822222222,2.611111111,0.490909091,0.727272727,2.627272727,1.127272727,2.863636364,0.763636364,1.609090909,1.7,1.445454546,0,1,2.754545455,1.572727273,1.890909091,0.936363636,1.227272727,0.681818182
