date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,0-Min,Min-10%,10%-30%,Stats. Shading,70%-90%,90%-Max,Median (POR)
11-02,35.9718238323,60.8570366027,40.7167551434,55.2421345302,67.3436215462,52.9361582589,50.9477247435,68.6278421601,49.4632337637,42.8336551398,52.7092950557,28.8121948554,64.0036526819,42.5481676827,28.8121948554,36.9208100945,46.8114023141,57.4880953592,66.6756277733,68.6278421601,52.7092950557
11-03,36.0432090476,59.9672470023,39.7247160291,55.4306101078,66.6464584247,52.0472483493,50.6303214912,68.3081148435,49.6482676395,43.3442253503,52.7673000035,28.9580634969,64.0772780315,43.236283025,28.9580634969,36.7795104439,47.1266507238,57.2452648656,66.1326223461,68.3081148435,52.0472483493
11-04,43.0261314957,59.3238812447,39.9297287566,55.0063046199,67.0950758003,51.9265094472,50.6638106698,69.1951636327,50.1378205345,43.7235144075,53.059156618,28.1251798035,64.0231966143,44.7752672591,28.1251798035,40.5490093044,47.5720980837,56.7333352698,66.4806999631,69.1951636327,51.9265094472
11-05,36.8272013995,59.3937113269,39.0044018758,54.6093039484,66.8838494879,52.8017409751,50.7381752174,68.4483047188,49.8104445399,47.2525910566,53.8342081856,28.6220011351,64.2033367768,44.5436366813,28.6220011351,37.2626414948,48.7873031466,56.5230668998,66.3477469457,68.4483047188,52.8017409751
11-06,36.3911769968,59.6639608956,39.2742184981,54.7947058596,67.1976659826,52.4804611995,49.8907414017,68.527938281,51.1597890376,47.9966921346,55.2052205377,28.75636742,64.5026775346,45.0668748609,28.75636742,36.967785297,49.1331216949,56.9887166809,66.658668293,68.527938281,52.4804611995
11-07,36.8785474485,58.9984179005,38.2612187656,54.9219943637,66.8040903203,52.2417413616,50.0984617846,68.3397129884,51.3440998684,47.8484663126,56.1959470523,29.3641325582,65.8347540353,45.0705007619,29.3641325582,37.1550817119,49.1984635958,57.3169353916,66.6102230633,68.3397129884,52.2417413616
11-08,37.2688083297,58.6518829212,37.6474677417,55.2350009523,66.5596806764,52.9561105785,49.7444585553,68.4464907276,52.0211059135,44.7070487224,58.118320811,28.7913681024,66.5122651109,45.313248544,28.7913681024,37.3445402121,47.7294946221,58.3317456551,66.5501975633,68.4464907276,52.9561105785
11-09,36.9305103114,58.8097156182,37.3417573244,55.6577227124,66.2313125484,52.7218643345,50.1133035294,68.1641487871,51.9713829543,48.0396757455,57.9089456939,29.0418828036,66.7375317946,44.8070138131,29.0418828036,37.012759714,49.2838524158,58.2692536636,66.6362879454,68.1641487871,52.7218643345
11-10,36.7099734989,58.5466733004,37.4600148565,55.8150551548,66.003590313,52.2457123903,50.2436843557,68.3043536386,51.4328299043,48.1240497762,57.6622909605,28.485078318,66.6645023185,44.041110204,28.485078318,36.8599817704,49.3958305239,58.0160438965,66.5323199174,68.3043536386,52.2457123903
11-11,36.3194233605,58.9557560131,37.1996601288,55.5470431894,66.1843500743,52.392076957,49.1005838,68.5537831519,50.9306766859,47.9503162185,57.2775967526,28.6642519674,66.5938717344,43.5756888848,28.6642519674,36.4954707142,48.6404767674,57.9488604568,66.5119674024,68.5537831519,52.392076957
11-12,36.5727725611,58.0221890328,36.2673607522,55.6551426708,65.2795933937,52.4830550002,49.0002384098,68.7808955882,50.0700674418,47.7875527557,56.939537309,28.3474564893,66.6234147068,43.0344908391,28.3474564893,36.328443114,48.5151641481,57.3725979985,66.3546504441,68.7808955882,52.4830550002
11-13,36.8983601442,53.588281977,35.285319576,55.5690539054,65.2851498669,52.4509506007,48.4591612097,68.4767281036,49.8213427385,47.7106088482,56.3117165061,28.2041018399,65.9356031313,42.065800221,28.2041018399,35.6079276897,48.1597402651,55.8661189457,65.8055124784,68.4767281036,52.4509506007
11-14,36.6042314047,57.7030674715,35.1093777411,55.1258294612,64.8687362382,52.0084187555,49.3052317317,68.6975054166,48.9984345504,47.6260754415,56.4408145564,29.1124655871,65.6777217162,42.0632984177,29.1124655871,35.4083484738,48.4494909068,56.9457157224,65.5159246206,68.6975054166,52.0084187555
11-15,36.6705515845,57.4779815691,34.3556783505,54.6810388298,65.1169923884,51.822800495,48.4559582785,69.8203516306,49.5208839448,44.8575841416,56.2981370248,29.4481939435,65.1009453562,41.7626882201,29.4481939435,34.8186529973,47.0166086237,56.7700748425,65.1137829819,69.8203516306,51.822800495
11-16,36.6709058216,57.3852379994,40.0125230186,54.8540865913,64.6276364849,52.1675682598,48.9794781521,69.109901589,48.8720368802,47.1792656312,56.3487585769,29.0192025015,64.7939736704,41.6649566017,29.0192025015,37.339229261,48.1949283806,56.7633503459,64.7607062333,69.109901589,52.1675682598
11-17,36.7306263369,57.4142944205,33.9797805888,54.6329285401,64.9313965823,51.4954963857,48.7867995299,69.2129964028,49.5077845996,47.3043127371,55.7956587563,28.4357067176,64.3035740524,41.9710785482,28.4357067176,34.5299497384,48.1938048128,56.443113022,64.8058320764,69.2129964028,51.4954963857
11-18,36.027590597,56.8572100446,34.5756848448,54.2182314777,64.6780561161,51.9867155549,49.0297918123,69.0178021219,49.0708375581,48.0202364301,55.6150462511,29.2355287065,63.4772484179,41.6206331369,29.2355287065,34.8660659953,48.6259696594,56.1119117685,64.4378945765,69.0178021219,51.9867155549
