date,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
19-Nov,12.14,19.34,19.31,19.25,30.53428571,38.76285714,26.6,17.67714286,30.2,12.4025,20.8625,23.09,27.725,26.28,18.3,24.78,40.96727273,33.24363636,23.09818182,32.31090909,28.82545455,30.46181818,30.2,24.06363636,27.07454545,32.558,25.60181818,22.31272727,37.20363636,38.462,33.57090909,11.97090909,26.50181818
20-Nov,22.37,17.6,22.85,17.42,28.01428571,34.36571429,22.17714286,19.16857143,31.69142857,12.9875,24.665,26.6225,31.01,18.3,24.56,36.02,35.74727273,21.59272727,25.71636364,32.80181818,28.54727273,33.30909091,30.11818182,26.76363636,26.78,37.94,32.09818182,24.68545455,33.35818182,34.73272727,31.01818182,18.59818182,21.98545455
21-Nov,26.36,10.88,27.08,19.88,32.82285714,32.72,14.56571429,32.18,23.12857143,16.88,28.3775,28.4,30.8075,21.1,26.52,37.06,15.57090909,28.98909091,29.70909091,25.34,27.32,36.10727273,25.25818182,23.58909091,18.74545455,33.152,31.46,24.63636364,25.55272727,31.82,23.58909091,22.52545455,22.05090909
22-Nov,4.91,14.72,30.74,11.99,29.06857143,33.68,15.23428571,35.96,16.05714286,19.0175,29.03,32.2475,16.0925,21.8,28.7,35.02,17.69818182,30.82181818,25.42181818,12.26545455,25.09454545,32.42545455,18.97454545,27.15636364,26.91090909,25.898,35.69818182,27.00909091,22.32909091,28.31818182,32.26181818,23.34363636,29.62727273
23-Nov,4.1,11.18,29.66,16.7,26.67714286,22.31,26.18857143,34.10857143,9.294285714,11.7725,18.77,30.2675,1.4225,17.58,26.7,34.66,15.66909091,28.62909091,15.29272727,17.86181818,31.29636364,29.77454545,18.92545455,15.83272727,28.61272727,25.40545455,38.23454545,22.80363636,20.07090909,32.93272727,33.42363636,22.01818182,23.9
24-Nov,21.26,0.29,10.724,23.24,33.02857143,17.45,28.06571429,32.92571429,8.497142857,8.7125,18.365,24.7325,21.8075,17.72,24.8,28.8,10.15454545,27.23818182,17.94363636,12.15090909,33.83272727,33.75090909,23.21272727,9.876363636,29.10363636,20.00545455,38.75818182,22.80363636,26.14181818,22.78727273,21.90363636,15.04727273,16.71636364
25-Nov,23,3.56,3.65,23.87,35.65142857,21.08,31.02285714,32.05142857,21.40571429,8.7575,17.8025,18.23,19.5125,27.08,24.02,27.7,20.54545455,31.19818182,25.91272727,5.572727273,26.86181818,31.59090909,17.12545455,17.82909091,32.73636364,21.83,36.48363636,11.92181818,25.42181818,23.65454545,18.32,22.96727273,14.13090909
26-Nov,24.77,5.9,10.652,15.59,28.63142857,17.48,28.91428571,32.66857143,32.25714286,14.81,9.1625,10.085,11.705,20.3,24.42,25.64,20.44727273,31.24727273,29.21818182,20.10363636,15.11272727,28.25272727,17.10909091,29.38181818,23.31090909,27.626,40.03454545,20.43090909,9.074545455,20.69272727,29.52909091,26.09272727,11.18545455
27-Nov,24.8,11.78,17.66,2.03,10.78571429,13.7,22.25428571,36.29428571,31.69142857,18.86,0.7025,15.9125,4.055,17.62,9.8,24.44,26.87818182,24.93090909,30.36363636,25.02909091,28.48181818,30.49454545,20.77454545,33.22727273,13.96727273,20.07090909,40.70545455,27.90909091,17.74727273,17.06,29.43090909,21.08545455,14.34363636
28-Nov,24.8,12.2,25.808,2.03,15.69714286,19.91,18.80857143,36.11428571,28.52857143,17.15,3.0875,22.82,19.1975,14.06,5.94,20.075,17.51818182,24.73454545,26.27272727,16.96181818,31.68909091,30.77272727,24.60363636,35.68181818,21.15090909,14.03272727,26.94363636,30.23272727,27.72909091,20.23454545,33.29272727,23.50727273,20.05454545
29-Nov,12.38,9.23,25.67,9.26,27.03714286,17.51,18.47428571,29.12,32.10285714,21.0875,15.89,27.8375,32.1575,-2.28,17.08,4.42,25.99454545,20.25090909,18.51636364,8.763636364,28.84181818,32.22909091,24.09636364,33.47272727,19.71090909,8.96,31.16545455,27.92545455,23.13090909,14.94909091,35.30545455,10.61272727,22.65636364
30-Nov,3.23,14.06,23,26.87,34.80285714,10.07,19.76,30.40571429,35.6,17.555,12.7625,27.5675,34.1825,5.46,19.42,8.94,29.44727273,21.93636364,21.23272727,12.92,29.77454545,33.93090909,23.54,30.85454545,8.632727273,8.583636364,30.18363636,23.08181818,10.53090909,21.28181818,35.33818182,21.57636364,18.68
1-Dec,4.01,19.25,20.876,27.62,33.41428571,17.93,20.76285714,34.592,32.12857143,10.1075,17.24,24.1925,33.395,8.74,25.76,18.38,28.18727273,26.86181818,21.98545455,26.76363636,14.85090909,34.07818182,25.45454545,27.27090909,11.97090909,13.19818182,32.81818182,13.93454545,20.88909091,15.93090909,36.81090909,27.90909091,17.28909091
2-Dec,6.11,21.884,24.8,23.39,30.14857143,8.72,13.61428571,32.48857143,20.78857143,14.945,28.0625,22.2125,27.455,9.9,28.82,6.98,17.17454545,31.46,7.438181818,29.69272727,19.76,33.91454545,29.46363636,29.56181818,19.10545455,12.72363636,33.63636364,9.303636364,30.62545455,7.749090909,36.00909091,23.81818182,13.18181818
3-Dec,13.79,21.29,8.9,26.72,25.98285714,12.07142857,9.165714286,28.55428571,15.08,15.4625,28.6475,20.975,22.595,19.56,16.12,11.76,30.78909091,21.83818182,-3.836363636,34.91272727,12.18363636,30.62545455,27.54909091,31.78727273,23.94909091,15.03090909,32.81818182,8.403636364,28.43272727,15.68545455,32.45818182,26.33818182,21.64181818
4-Dec,21.53,9.41,25.655,25.4,32.10285714,11.27428571,15.56857143,30.58571429,8.188571429,15.7775,25.745,17.285,23.2925,24.12,2.2,21.38,35.63272727,18.46727273,6.194545455,32.13090909,6.734545455,29.62727273,16.53636364,31.46,29.75818182,21.38,16.12727273,6.112727273,28.08909091,23.94909091,34.42181818,30.49454545,27.36909091
5-Dec,24.77,12.92,20.48,27.14,32.28285714,22.97428571,19.29714286,20.17142857,14.92571429,16.6775,16.0475,15.575,26.195,17.7,3.92,24.9,31.82,22.36181818,17.42,30.57636364,-1.365454546,35.35454545,2.48,26.51818182,20.92181818,23.594,15.83272727,23.04909091,26.33818182,22.586,32.57272727,29.16909091,28.30181818
6-Dec,24.86,11.12,26.645,24.23,27.70571429,18.34571429,22.94857143,8.908571429,20.96857143,17.2625,22.1675,16.34,33.44,15.46,7.92,23.9,28.51454545,29.80727273,7.470909091,29.23454545,6.129090909,30.00363636,2.201818182,28.58,26.71454545,16.94545455,10.76,24.96363636,25.14363636,23.54,29.38181818,24.39090909,32.22909091
7-Dec,26.39,16.85,22.19,19.1,24.95428571,19.34857143,21.94571429,4.022857143,18.70571429,19.2425,14.0675,15.9125,29.75,17.76,-7.26,18.9725,29.70909091,31.42727273,17.42,21.87090909,19.72727273,26.78,10.05636364,27.54909091,33.11272727,5.016363636,8.763636364,20.05454545,29.23454545,25.40545455,26.17454545,25.53636364,29.82363636
8-Dec,22.97,19.85,27.752,8.96,19.63142857,30.27714286,17.88285714,11.14571429,11.22285714,16.4075,9.815,14.1125,21.07142857,19.12,11.38,24.32,24.44,23.83454545,12.41272727,29.39818182,18.59818182,24.76727273,2.774545455,28.33454545,32.57272727,12.96909091,23.49090909,18.95818182,27.05818182,29.33272727,26.6,16.88,17.25636364
